EqID,Equation,Framework,Domain,SourceDoc,SourceLine,Description,VerificationStatus,RelatedEqs,ExperimentalTest
OE001,\begin{array}{r l}{\left\{\begin{array}{r l}{\Omega}&{{}{\frac{\cos\theta}{\Theta}}}\\ {\mp\sqrt{\frac{\cos}{\Theta}}}\end{array}\right.}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 1, Image 0 (359x3300)",OCR extracted equation from image on Page 1,OCR_Pending,,OCR validation required
OE002,\begin{array}{l}{{\left(\begin{array}{c c c}{{\frac{\cos\theta}{\alpha}}}&{{\frac{\cos\theta}{\overline{{\alpha}}}}}\\ {{\overline{{\exp}}}}&{{\overline{{\Omega}}}}\end{array}\right)}}\\ {{\begin{array}{c}{{\overline{{\Omega}}}}\\ {{\overline{{\Omega}}}}\\ {{\overline{{\Omega}}}}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 2, Image 0 (359x3300)",OCR extracted equation from image on Page 2,OCR_Pending,,OCR validation required
OE003,"\begin{array}{r l}{{\frac{\pi}{\frac{5}{5}},{\frac{r^{\prime}-\omega_{n}}{5}},}\\ {{\frac{5}{5}},{\frac{\pi}{5-\omega-n-1}}}\\ {{\frac{3}{5}},\quad\sum_{t o t}^{\prime}{\frac{\pi}{\omega_{1}}},}\\ {{\frac{5}{5}},\quad\sum_{i^{\prime}\leq x_{0}}{\frac{\pi}{\omega_{1}}}}&{{-\omega}}\\ {{\frac{4}{5}},\quad\sum_{i^{\prime}\leq x_{0}}}\\ {{\frac{5}{9}}}&{{\exp}}&{{\exp}{\frac{\omega_{1}}{\omega_{1}}{\omega_{1}}}}\end{array}",OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 2, Image 1 (774x902)",OCR extracted equation from image on Page 2,OCR_Pending,,OCR validation required
OE004,\begin{array}{l}{{\left\{\begin{array}{l l}{{\begin{array}{l l}{{\frac{\cos\theta}{\alpha}}}}\\ {{\in\sqrt{\frac{\cos}{\frac{\cos\theta}}}{\frac{\cos\theta}{\Omega}}}}\end{array}\right.}}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 3, Image 1 (359x3300)",OCR extracted equation from image on Page 3,OCR_Pending,,OCR validation required
OE005,\begin{array}{c}{{\frac{1}{j}\frac{s+s}{2-\mu}}}\\ {{\frac{1}{j}\frac{s}{2-\mu}{s+s}}}\\ {{\frac{1}{j}\frac{s+s}{s+s}{s+s}}}\\ {{\frac{1}{j^{\prime}}}}&{{\sqrt{s+s}}}\\ {{\frac{1}{j^{\prime}}}}&{{\sum_{\bf{N}}}}\\ {{\frac{1}{j^{\prime}}}}&{{\exp2s}}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 4, Image 0 (818x947)",OCR extracted equation from image on Page 4,OCR_Pending,,OCR validation required
OE006,\begin{array}{l}{{\left(\begin{array}{l l}{{\begin{array}{l l}{{\frac{\cos\theta}{\alpha}}}}\\ {{\frac{\cos}{\underline{{{\alpha}}}}}}\end{array}\right)}}\\ {{\frac{\in}{\sqrt{\sum}}}}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 4, Image 1 (359x3300)",OCR extracted equation from image on Page 4,OCR_Pending,,OCR validation required
OE007,"{\frac{\mathrm{ra}}{\mathrm{e}}}\,{\frac{\mathrm{n}}{\mathrm{c}}}",OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 5, Image 0 (1387x1788)",OCR extracted equation from image on Page 5,OCR_Pending,,OCR validation required
OE008,\begin{array}{r l}{\left\{\begin{array}{r l}{\Omega}&{{}{\frac{\cos\theta}{\Omega}}}\\ {\mp\sqrt{\frac{\cos\theta}{\Omega}}}\end{array}\right.}}\\ {\left.{\frac{\cos\theta}{\Omega}}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 5, Image 1 (359x3300)",OCR extracted equation from image on Page 5,OCR_Pending,,OCR validation required
OE009,\ \!\Psi,OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 8, Image 0 (1613x1879)",OCR extracted equation from image on Page 8,OCR_Pending,,OCR validation required
OE010,\begin{array}{r l}{\left\{\begin{array}{r l}{\Omega}&{{}{\frac{\cos\theta}{\Omega}}}\\ {\mp\sqrt{\frac{\cos\theta}{\Omega}}}\end{array}\right.}}\\ {\left\{\begin{array}{l l}{\quad}\\ {\longrightarrow}&{}\overline{{\Omega}}}\\ {\quad}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 8, Image 1 (359x3300)",OCR extracted equation from image on Page 8,OCR_Pending,,OCR validation required
